id,question,protocol_group,question_type,target_document,difficulty,should_refuse,section,correctness_score,completeness_score,faithfulness_score,retrieval_relevance_score,manual_notes
1,什么是 DNS 的 negative caching？,DNS,定义类,RFC 2308,简单,False,rfc_questions,,,,,
2,DNS 的设计目标有哪些？,DNS,机制类,RFC 1034,中等,False,rfc_questions,,,,,
3,DNSSEC 主要解决了什么问题？,DNS,安全类,RFC 4033,中等,False,rfc_questions,,,,,
4,DNSSEC 引入了哪些新的资源记录类型？,DNS,字段类,RFC 4034,简单,False,rfc_questions,,,,,
5,DNSSEC 协议修改主要体现在哪些方面？,DNS,机制类,RFC 4035,中等,False,rfc_questions,,,,,
6,NXDOMAIN 和 NODATA 有什么区别？,DNS,对比类,RFC 2308,中等,False,rfc_questions,,,,,
7,HTTP/1.1 的核心语义主要包括哪些内容？,HTTP,定义类,RFC 9110 / RFC 2616,中等,False,rfc_questions,,,,,
8,HTTP over TLS 是什么？,HTTP,定义类,RFC 2818,简单,False,rfc_questions,,,,,
9,HTTP/2 相比 HTTP/1.1 的主要改进是什么？,HTTP,对比类,RFC 7540 / RFC 9113,中等,False,rfc_questions,,,,,
10,HTTP/3 建立在哪个传输协议之上？,HTTP,定义类,RFC 9114,简单,False,rfc_questions,,,,,
11,HTTP/3 和 HTTP/2 的主要区别是什么？,HTTP,对比类,RFC 9113 / RFC 9114,中等,False,rfc_questions,,,,,
12,HTTP 中“资源”和“表示”是什么关系？,HTTP,机制类,RFC 9110,中等,False,rfc_questions,,,,,
13,HTTP/1.1 的消息语法和连接管理主要由什么规范？,HTTP,字段类,RFC 9112,中等,False,rfc_questions,,,,,
14,TLS 的主要目标是什么？,TLS,定义类,RFC 5246 / RFC 8446,简单,False,rfc_questions,,,,,
15,TLS 1.2 和 TLS 1.3 有什么区别？,TLS,对比类,RFC 5246 / RFC 8446,中等,False,rfc_questions,,,,,
16,ALPN 的作用是什么？,TLS,定义类,RFC 7301,简单,False,rfc_questions,,,,,
17,TLS 扩展在协议中起什么作用？,TLS,机制类,RFC 6066,中等,False,rfc_questions,,,,,
18,RFC 5280 主要规范了什么内容？,TLS,定义类,RFC 5280,中等,False,rfc_questions,,,,,
19,为什么 HTTP/2 或 HTTP/3 相关问题会涉及 TLS 协商？,TLS/HTTP,综合类,RFC 7301 / RFC 9113 / RFC 9114,中等,False,rfc_questions,,,,,
20,TCP 的核心目标是什么？,TCP,定义类,RFC 9293 / RFC 793,简单,False,rfc_questions,,,,,
21,UDP 的主要特点是什么？,UDP,定义类,RFC 768,简单,False,rfc_questions,,,,,
22,TCP 和 UDP 的主要区别是什么？,TCP/UDP,对比类,RFC 9293 / RFC 768,中等,False,rfc_questions,,,,,
23,RFC 9293 对 TCP 的作用是什么？,TCP,机制类,RFC 9293,中等,False,rfc_questions,,,,,
24,UDP 校验和的作用是什么？,UDP,字段类,RFC 768,中等,False,rfc_questions,,,,,
25,IPv4 和 IPv6 的主要区别是什么？,IP,对比类,RFC 791 / RFC 8200,中等,False,rfc_questions,,,,,
26,Path MTU Discovery 的作用是什么？,IP,机制类,RFC 8201,中等,False,rfc_questions,,,,,
27,ICMP 在 IP 体系中承担什么角色？,ICMP,定义类,RFC 792,简单,False,rfc_questions,,,,,
28,ARP 要解决的核心问题是什么？,ARP,定义类,RFC 826,简单,False,rfc_questions,,,,,
29,HTTPS 为什么不是一个独立于 HTTP 和 TLS 的全新协议？,HTTP/TLS,综合类,RFC 2818 / RFC 9110 / RFC 8446,中等,False,rfc_questions,,,,,
30,在 TLS 握手中，ALPN、HTTP/2 和 HTTP/3 是怎样关联的？,HTTP/IP,综合类,RFC 7301 / RFC 9113 / RFC 9114,较难,False,rfc_questions,,,,,
31,HTTP/3 在实际生产环境中一定比 HTTP/2 更快吗？,HTTP,证据不足类,RFC 9113 / RFC 9114,中等,True,refusal_questions,,,,,
32,TLS 1.3 是否在所有场景下都比 TLS 1.2 更安全？,TLS,证据不足类,RFC 5246 / RFC 8446,中等,True,refusal_questions,,,,,
33,哪种协议在现实网络里性能最好？,综合,证据不足类,多 RFC,简单,True,refusal_questions,,,,,
34,DNSSEC 是否一定能完全防止所有 DNS 攻击？,DNS,证据不足类,RFC 4033 / RFC 4034 / RFC 4035,中等,True,refusal_questions,,,,,
35,QUIC 是否一定会取代 TCP？,HTTP/IP,证据不足类,RFC 9114 / RFC 9293,中等,True,refusal_questions,,,,,
36,SUT 是什么协议？主要用于什么场景？,SUT,私有协议类,sut_spec.md,简单,False,sut_demo_questions,,,,,
37,SUT 为什么要支持 Quiet-Unlock？,SUT,机制类,sut_spec.md,简单,False,sut_demo_questions,,,,,
38,SUT 中 rush 和 festival 两种抖动模式有什么区别？,SUT,对比类,sut_spec.md,中等,False,sut_demo_questions,,,,,
39,SUT 中什么情况下可能返回 475 Quiet_Hours_Restricted？,SUT,规则类,sut_spec.md,中等,False,sut_demo_questions,,,,,
40,SUT 中 Trace-Echo 会返回什么类型的诊断信息？,SUT,字段类,sut_spec.md,中等,False,sut_demo_questions,,,,,
41,SUT 是否适合直接说明真实共享单车系统的所有实现细节？,SUT,证据不足类,sut_spec.md,中等,True,sut_demo_questions,,,,,
